12 months ending,Police force area,Region,Offence,Rolling year total number of offences
31/12/2011,Hertfordshire,East,Stalking and harassment,663
31/12/2011,Hertfordshire,East,Theft from the person,1485
31/12/2011,Hertfordshire,East,Vehicle offences,7193
31/12/2011,Hertfordshire,East,Violence with injury,4364
31/12/2011,Hertfordshire,East,Violence without injury,3529
31/12/2011,Humberside,Yorkshire and The Humber,All other theft offences,11647
31/12/2011,Humberside,Yorkshire and The Humber,Bicycle theft,2455
31/12/2011,Humberside,Yorkshire and The Humber,Criminal damage and arson,13995
31/12/2011,Humberside,Yorkshire and The Humber,Death or serious injury caused by illegal driving,14
31/12/2011,Humberside,Yorkshire and The Humber,Domestic burglary,4555
31/12/2011,Humberside,Yorkshire and The Humber,Drug offences,2867
31/12/2011,Humberside,Yorkshire and The Humber,Fraud offences,938
31/12/2011,Humberside,Yorkshire and The Humber,Homicide,4
31/12/2011,Humberside,Yorkshire and The Humber,Miscellaneous crimes against society,941
31/12/2011,Humberside,Yorkshire and The Humber,Non-domestic burglary,6966
31/12/2011,Humberside,Yorkshire and The Humber,Possession of weapons offences,446
31/12/2011,Humberside,Yorkshire and The Humber,Public order offences,3100
31/12/2011,Humberside,Yorkshire and The Humber,Robbery,515
31/12/2011,Humberside,Yorkshire and The Humber,Sexual offences,1187
31/12/2011,Humberside,Yorkshire and The Humber,Shoplifting,6971
31/12/2011,Humberside,Yorkshire and The Humber,Stalking and harassment,559
31/12/2011,Humberside,Yorkshire and The Humber,Theft from the person,676
31/12/2011,Humberside,Yorkshire and The Humber,Vehicle offences,6134
31/12/2011,Humberside,Yorkshire and The Humber,Violence with injury,7583
31/12/2011,Humberside,Yorkshire and The Humber,Violence without injury,3667
31/12/2011,Kent,South East,All other theft offences,18597
31/12/2011,Kent,South East,Bicycle theft,2028
31/12/2011,Kent,South East,Criminal damage and arson,19967
31/12/2011,Kent,South East,Death or serious injury caused by illegal driving,10
31/12/2011,Kent,South East,Domestic burglary,5081
31/12/2011,Kent,South East,Drug offences,3752
31/12/2011,Kent,South East,Fraud offences,2453
31/12/2011,Kent,South East,Homicide,16
31/12/2011,Kent,South East,Miscellaneous crimes against society,962
31/12/2011,Kent,South East,Non-domestic burglary,6898
31/12/2011,Kent,South East,Possession of weapons offences,405
31/12/2011,Kent,South East,Public order offences,2174
31/12/2011,Kent,South East,Robbery,866
31/12/2011,Kent,South East,Sexual offences,1311
31/12/2011,Kent,South East,Shoplifting,10012
31/12/2011,Kent,South East,Stalking and harassment,661
31/12/2011,Kent,South East,Theft from the person,799
31/12/2011,Kent,South East,Vehicle offences,10013
31/12/2011,Kent,South East,Violence with injury,9960
31/12/2011,Kent,South East,Violence without injury,6939
31/12/2011,Lancashire,North West,All other theft offences,16468
31/12/2011,Lancashire,North West,Bicycle theft,2574
31/12/2011,Lancashire,North West,Criminal damage and arson,19259
31/12/2011,Lancashire,North West,Death or serious injury caused by illegal driving,9
31/12/2011,Lancashire,North West,Domestic burglary,4274
31/12/2011,Lancashire,North West,Drug offences,4708
31/12/2011,Lancashire,North West,Fraud offences,1392
31/12/2011,Lancashire,North West,Homicide,18
31/12/2011,Lancashire,North West,Miscellaneous crimes against society,982
31/12/2011,Lancashire,North West,Non-domestic burglary,7495
31/12/2011,Lancashire,North West,Possession of weapons offences,596
31/12/2011,Lancashire,North West,Public order offences,2968
31/12/2011,Lancashire,North West,Robbery,719
31/12/2011,Lancashire,North West,Sexual offences,1568
31/12/2011,Lancashire,North West,Shoplifting,8259
31/12/2011,Lancashire,North West,Stalking and harassment,1445
31/12/2011,Lancashire,North West,Theft from the person,991
31/12/2011,Lancashire,North West,Vehicle offences,8515
31/12/2011,Lancashire,North West,Violence with injury,10603
31/12/2011,Lancashire,North West,Violence without injury,6469
31/12/2011,Leicestershire,East Midlands,All other theft offences,11086
31/12/2011,Leicestershire,East Midlands,Bicycle theft,2518
31/12/2011,Leicestershire,East Midlands,Criminal damage and arson,11918
31/12/2011,Leicestershire,East Midlands,Death or serious injury caused by illegal driving,5
31/12/2011,Leicestershire,East Midlands,Domestic burglary,4171
31/12/2011,Leicestershire,East Midlands,Drug offences,2653
31/12/2011,Leicestershire,East Midlands,Fraud offences,972
31/12/2011,Leicestershire,East Midlands,Homicide,15
31/12/2011,Leicestershire,East Midlands,Miscellaneous crimes against society,782
31/12/2011,Leicestershire,East Midlands,Non-domestic burglary,4012
31/12/2011,Leicestershire,East Midlands,Possession of weapons offences,351
31/12/2011,Leicestershire,East Midlands,Public order offences,3311
31/12/2011,Leicestershire,East Midlands,Robbery,891
31/12/2011,Leicestershire,East Midlands,Sexual offences,981
31/12/2011,Leicestershire,East Midlands,Shoplifting,5310
31/12/2011,Leicestershire,East Midlands,Stalking and harassment,994
31/12/2011,Leicestershire,East Midlands,Theft from the person,1453
31/12/2011,Leicestershire,East Midlands,Vehicle offences,6565
31/12/2011,Leicestershire,East Midlands,Violence with injury,5497
31/12/2011,Leicestershire,East Midlands,Violence without injury,4925
31/12/2011,Lincolnshire,East Midlands,All other theft offences,8302
31/12/2011,Lincolnshire,East Midlands,Bicycle theft,1868
31/12/2011,Lincolnshire,East Midlands,Criminal damage and arson,8505
31/12/2011,Lincolnshire,East Midlands,Death or serious injury caused by illegal driving,24
31/12/2011,Lincolnshire,East Midlands,Domestic burglary,2251
31/12/2011,Lincolnshire,East Midlands,Drug offences,1569
31/12/2011,Lincolnshire,East Midlands,Fraud offences,529
31/12/2011,Lincolnshire,East Midlands,Homicide,7
31/12/2011,Lincolnshire,East Midlands,Miscellaneous crimes against society,611
31/12/2011,Lincolnshire,East Midlands,Non-domestic burglary,4329
31/12/2011,Lincolnshire,East Midlands,Possession of weapons offences,307
31/12/2011,Lincolnshire,East Midlands,Public order offences,1711
31/12/2011,Lincolnshire,East Midlands,Robbery,228
31/12/2011,Lincolnshire,East Midlands,Sexual offences,659
31/12/2011,Lincolnshire,East Midlands,Shoplifting,3770
31/12/2011,Lincolnshire,East Midlands,Stalking and harassment,262
31/12/2011,Lincolnshire,East Midlands,Theft from the person,388
31/12/2011,Lincolnshire,East Midlands,Vehicle offences,3819
31/12/2011,Lincolnshire,East Midlands,Violence with injury,3471
31/12/2011,Lincolnshire,East Midlands,Violence without injury,2659
31/12/2011,Merseyside,North West,All other theft offences,11344
31/12/2011,Merseyside,North West,Bicycle theft,1899
31/12/2011,Merseyside,North West,Criminal damage and arson,18730
31/12/2011,Merseyside,North West,Death or serious injury caused by illegal driving,4
31/12/2011,Merseyside,North West,Domestic burglary,7416
31/12/2011,Merseyside,North West,Drug offences,13425
31/12/2011,Merseyside,North West,Fraud offences,922
31/12/2011,Merseyside,North West,Homicide,23
31/12/2011,Merseyside,North West,Miscellaneous crimes against society,890
31/12/2011,Merseyside,North West,Non-domestic burglary,6191
31/12/2011,Merseyside,North West,Possession of weapons offences,765
31/12/2011,Merseyside,North West,Public order offences,4414
31/12/2011,Merseyside,North West,Robbery,1483
31/12/2011,Merseyside,North West,Sexual offences,1302
31/12/2011,Merseyside,North West,Shoplifting,7964
31/12/2011,Merseyside,North West,Stalking and harassment,679
31/12/2011,Merseyside,North West,Theft from the person,2414
31/12/2011,Merseyside,North West,Vehicle offences,8681
31/12/2011,Merseyside,North West,Violence with injury,6511
31/12/2011,Merseyside,North West,Violence without injury,3183
31/12/2011,Metropolitan Police,London,All other theft offences,135084
31/12/2011,Metropolitan Police,London,Bicycle theft,22462
31/12/2011,Metropolitan Police,London,Criminal damage and arson,73269
31/12/2011,Metropolitan Police,London,Death or serious injury caused by illegal driving,55
31/12/2011,Metropolitan Police,London,Domestic burglary,63759
31/12/2011,Metropolitan Police,London,Drug offences,62486
31/12/2011,Metropolitan Police,London,Fraud offences,22381
31/12/2011,Metropolitan Police,London,Homicide,118
31/12/2011,Metropolitan Police,London,Miscellaneous crimes against society,8795
31/12/2011,Metropolitan Police,London,Non-domestic burglary,32614
31/12/2011,Metropolitan Police,London,Possession of weapons offences,5085
31/12/2011,Metropolitan Police,London,Public order offences,29677
31/12/2011,Metropolitan Police,London,Robbery,39483
31/12/2011,Metropolitan Police,London,Sexual offences,10224
31/12/2011,Metropolitan Police,London,Shoplifting,39286
31/12/2011,Metropolitan Police,London,Stalking and harassment,15866
31/12/2011,Metropolitan Police,London,Theft from the person,40243
31/12/2011,Metropolitan Police,London,Vehicle offences,104233
31/12/2011,Metropolitan Police,London,Violence with injury,62104
31/12/2011,Metropolitan Police,London,Violence without injury,49535
31/12/2011,Norfolk,East,All other theft offences,6351
31/12/2011,Norfolk,East,Bicycle theft,1497
31/12/2011,Norfolk,East,Criminal damage and arson,9327
31/12/2011,Norfolk,East,Death or serious injury caused by illegal driving,13
31/12/2011,Norfolk,East,Domestic burglary,1575
31/12/2011,Norfolk,East,Drug offences,2075
31/12/2011,Norfolk,East,Fraud offences,336
31/12/2011,Norfolk,East,Homicide,9
31/12/2011,Norfolk,East,Miscellaneous crimes against society,378
31/12/2011,Norfolk,East,Non-domestic burglary,2896
31/12/2011,Norfolk,East,Possession of weapons offences,279
31/12/2011,Norfolk,East,Public order offences,1508
31/12/2011,Norfolk,East,Robbery,222
31/12/2011,Norfolk,East,Sexual offences,893
31/12/2011,Norfolk,East,Shoplifting,3618
31/12/2011,Norfolk,East,Stalking and harassment,351
31/12/2011,Norfolk,East,Theft from the person,407
31/12/2011,Norfolk,East,Vehicle offences,3201
31/12/2011,Norfolk,East,Violence with injury,4257
31/12/2011,Norfolk,East,Violence without injury,3621
31/12/2011,North Wales,Wales,All other theft offences,6338
31/12/2011,North Wales,Wales,Bicycle theft,760
31/12/2011,North Wales,Wales,Criminal damage and arson,8746
31/12/2011,North Wales,Wales,Death or serious injury caused by illegal driving,3
31/12/2011,North Wales,Wales,Domestic burglary,1776
31/12/2011,North Wales,Wales,Drug offences,1836
31/12/2011,North Wales,Wales,Fraud offences,582
31/12/2011,North Wales,Wales,Homicide,5
31/12/2011,North Wales,Wales,Miscellaneous crimes against society,710
31/12/2011,North Wales,Wales,Non-domestic burglary,3390
31/12/2011,North Wales,Wales,Possession of weapons offences,260
31/12/2011,North Wales,Wales,Public order offences,2042
31/12/2011,North Wales,Wales,Robbery,165
31/12/2011,North Wales,Wales,Sexual offences,643
31/12/2011,North Wales,Wales,Shoplifting,3901
31/12/2011,North Wales,Wales,Stalking and harassment,560
31/12/2011,North Wales,Wales,Theft from the person,170
31/12/2011,North Wales,Wales,Vehicle offences,2878
31/12/2011,North Wales,Wales,Violence with injury,4361
31/12/2011,North Wales,Wales,Violence without injury,3743
31/12/2011,North Yorkshire,Yorkshire and The Humber,All other theft offences,6616
31/12/2011,North Yorkshire,Yorkshire and The Humber,Bicycle theft,1464
31/12/2011,North Yorkshire,Yorkshire and The Humber,Criminal damage and arson,7117
31/12/2011,North Yorkshire,Yorkshire and The Humber,Death or serious injury caused by illegal driving,7
31/12/2011,North Yorkshire,Yorkshire and The Humber,Domestic burglary,1958
31/12/2011,North Yorkshire,Yorkshire and The Humber,Drug offences,2253
31/12/2011,North Yorkshire,Yorkshire and The Humber,Fraud offences,668
31/12/2011,North Yorkshire,Yorkshire and The Humber,Homicide,2
31/12/2011,North Yorkshire,Yorkshire and The Humber,Miscellaneous crimes against society,403
31/12/2011,North Yorkshire,Yorkshire and The Humber,Non-domestic burglary,3286
31/12/2011,North Yorkshire,Yorkshire and The Humber,Possession of weapons offences,239
31/12/2011,North Yorkshire,Yorkshire and The Humber,Public order offences,1359
31/12/2011,North Yorkshire,Yorkshire and The Humber,Robbery,194
31/12/2011,North Yorkshire,Yorkshire and The Humber,Sexual offences,593
31/12/2011,North Yorkshire,Yorkshire and The Humber,Shoplifting,3672
31/12/2011,North Yorkshire,Yorkshire and The Humber,Stalking and harassment,348
31/12/2011,North Yorkshire,Yorkshire and The Humber,Theft from the person,603
31/12/2011,North Yorkshire,Yorkshire and The Humber,Vehicle offences,3366
31/12/2011,North Yorkshire,Yorkshire and The Humber,Violence with injury,3919
31/12/2011,North Yorkshire,Yorkshire and The Humber,Violence without injury,1946
31/12/2011,Northamptonshire,East Midlands,All other theft offences,7696
31/12/2011,Northamptonshire,East Midlands,Bicycle theft,1292
31/12/2011,Northamptonshire,East Midlands,Criminal damage and arson,8962
31/12/2011,Northamptonshire,East Midlands,Death or serious injury caused by illegal driving,5
31/12/2011,Northamptonshire,East Midlands,Domestic burglary,2471
31/12/2011,Northamptonshire,East Midlands,Drug offences,1917
31/12/2011,Northamptonshire,East Midlands,Fraud offences,1172
31/12/2011,Northamptonshire,East Midlands,Homicide,10
31/12/2011,Northamptonshire,East Midlands,Miscellaneous crimes against society,581
31/12/2011,Northamptonshire,East Midlands,Non-domestic burglary,3417
31/12/2011,Northamptonshire,East Midlands,Possession of weapons offences,278
31/12/2011,Northamptonshire,East Midlands,Public order offences,1206
31/12/2011,Northamptonshire,East Midlands,Robbery,688
31/12/2011,Northamptonshire,East Midlands,Sexual offences,754
31/12/2011,Northamptonshire,East Midlands,Shoplifting,3679
31/12/2011,Northamptonshire,East Midlands,Stalking and harassment,555
31/12/2011,Northamptonshire,East Midlands,Theft from the person,795
31/12/2011,Northamptonshire,East Midlands,Vehicle offences,4913
31/12/2011,Northamptonshire,East Midlands,Violence with injury,4780
31/12/2011,Northamptonshire,East Midlands,Violence without injury,3997
31/12/2011,Northumbria,North East,All other theft offences,10644
31/12/2011,Northumbria,North East,Bicycle theft,1966
31/12/2011,Northumbria,North East,Criminal damage and arson,15838
31/12/2011,Northumbria,North East,Death or serious injury caused by illegal driving,10
31/12/2011,Northumbria,North East,Domestic burglary,3680
31/12/2011,Northumbria,North East,Drug offences,5351
31/12/2011,Northumbria,North East,Fraud offences,1001
